


         _+=+_
      .-`  .  `-.          8888888b.  8888888b.   .d88888b.   .d8888b.
   _+`     "     `+_       888   Y88b 888   Y88b d88P" "Y88b d88P  Y88b
  \\\sssssssssssss///      888    888 888    888 888     888 Y88b.
     .ss\  *  /ss.         888   d88P 888   d88P 888     888  "Y888b.
 .+bm  .s  *  s.  md+.     8888888P"  8888888P"  888     888     "Y88b.
.hMMMMs .  *  . sMMMMh.    888        888 T88b   888     888       "888
 `\hMMMb \ | / dMMMh:      888        888  T88b  Y88b. .d88P Y88b  d88P
   -SNMNo  -  oNMNs-       888        888   T88b  "Y88888P"   "Y8888P"
     `+dMh\./dMd/
        `:yNy:`                      Powered by PROS for VEX V5
           "                Copyright (c) Purdue University ACM SIGBots
Version:        3.6.0     Platform:  V1.1.2 (b34)     Uptime:    0.000 s
Compiled:   Nov  8 2022 18:39:33     Directory:  V5/VexV5-UTG/VexV5-UTG


time,vexVelocity,filteredVelocity,rawVelocity,acceleration,emaGain,voltageOut,deltaTime,vexDeltaTime,deltaTicks
3260,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3280,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3300,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3320,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3340,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3360,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3380,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3400,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3420,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3440,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3460,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3480,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3500,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3520,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3540,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3560,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3580,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3600,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,25,20,0
3620,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,15,20,0
